X0,Y0,Name0,,X1,Y1,Name1,,X2,Y2,Name2,,X3,Y3,Name3,,X4,Y4,Name4
636,120,Z1/J1/Z29,,1116,600,Z3/J2/B12,,2260,120,X1/S,,2426,120,Y1/S,,3000,120,Y10/C1
636,160,Z1/J1/A32,,1116,640,Z3/J2/B11,,2260,160,X1/T,,2426,160,Y1/T,,3000,160,Y10/C2
636,280,Z1/J1/Z28,,1116,720,Z3/J2/B14,,2260,280,X1/U,,2426,280,Y1/U,,3000,280,Y10/C3
636,320,Z1/J1/A31,,1116,760,Z3/J2/B13,,2260,320,X1/V,,2426,320,Y1/V,,3000,320,Y10/C4
634,440,Z1/J1/Z27,,1096,1340,Z3/J2/B16,,2260,440,X1/W,,2424,440,Y1/W,,3000,440,Y10/C5
634,480,Z1/J1/A30,,1096,1380,Z3/J2/B15,,2260,480,X1/X,,2424,480,Y1/X,,3000,480,Y10/C6
636,900,Z2/J1/C1,,1096,1460,Z3/J2/C2,,2260,900,X1/Y,,2416,900,Y1/Y,,3000,900,Y10/C7
636,940,Z2/J1/C2,,1096,1500,Z3/J2/C1,,2260,940,X1/Z,,2416,940,Y1/Z,,3000,940,Y10/C8
636,1060,Z2/J1/D1,,1096,2020,Z3/J2/C4,,2260,1060,X1/a,,2426,1060,Y1/a,,3000,1060,Y10/C9
636,1100,Z2/J1/D2,,1096,2060,Z3/J2/C3,,2260,1100,X1/b,,2426,1100,Y1/b,,3000,1100,Y10/C10
634,1220,Z2/J1/E1,,1096,2160,Z3/J2/C6,,2260,1220,X1/c,,2414,1220,Y1/c,,3000,1220,Y10/C11
634,1260,Z2/J1/E2,,1096,2200,Z3/J2/C5,,2260,1260,X1/d,,2414,1260,Y1/d,,3000,1260,Y10/C12
636,1600,C3,,,,,,2260,1600,X1/e,,2426,1600,Y1/e,,3020,1600,Y10/B1
636,1640,Z23,,,,,,2260,1640,X1/f,,2426,1640,Y1/f,,3020,1640,Y10/B2
636,1740,Z2/J1/D3,,,,,,2260,1740,X1/g,,2426,1760,Y1/g,,3020,1760,Y10/B3
636,1780,Z22,,,,,,2260,1780,X1/h,,2426,1800,Y1/f,,3020,1800,Y10/B4
634,1880,Z2/J1/E3,,,,,,2260,1880,X/i,,2414,1920,Y1/i,,3000,1920,Y10/B5
634,1920,Z2/J1/Z21,,,,,,2260,1920,X/j,,2414,1960,Y1/j,,3000,1960,Y10/B6
